black preto
white branco
red vermelho
blue azul
green verde
purple roxo
yellow amarelo
hello ola
goodbye adeus
love amor
solutions solucao
programming programar
feel sentir
translation traducao
travelling viajar
ball bola
abbreviation abreviação
aboriginal aborigene
absolute absoluto
accident acidente
accounting contabilidade
accuracy precisão
acidly acidamente
across através
activity actividade
add adicionar
adhesion adesão
admirable admirável
adsorb absorver
advertisement publicidade
aerosol aerossol
aficionado aficionado
afterwards depois
